Designator,Mid X,Mid Y,Rotation,Layer
Brd1,158.75,-124.46,0.0,top
C1,189.865,-113.665,270.0,top
C2,174.625,-113.665,270.0,top
J2,133.35,-130.85,0.0,top
R1,139.7,-137.16,180.0,top
R2,134.62,-124.46,180.0,top
R3,187.579,-99.568,90.0,top
R4,184.15,-114.3,90.0,top
R5,187.325,-114.3,90.0,top
R6,177.8,-114.3,90.0,top
R7,180.975,-114.3,90.0,top
R8,182.88,-136.525,180.0,top
SW1,185.34,-118.745,270.0,top
SW2,187.67,-104.065,270.0,top
U2,153.67,-96.52,90.0,top
UART1,134.66,-116.84,90.0,top
